#{"t_start": 1669995092.000832, "env_id": null}
r,l,t
0.190586,115,3314.055486
0.022954,189,3315.323554
0.012112,398,3317.668708
0.115669,1001,3325.313929
0.561173,408,3327.667154
1.05036,1001,3332.982913
0.331571,446,3335.514655
0.405139,425,3337.903899
0.93652,482,3340.547566
0.892245,487,3343.261232
0.41688,534,3346.279802
0.202715,1001,3353.887841
0.102665,1001,3359.279101
0.084336,238,3360.790618
0.071946,28,3361.251683
0.101895,843,3365.68922
1.36993,997,3370.998851
0.310433,608,3376.604496
1.872848,919,3381.575869
0.46564,520,3384.521835
0.487202,373,3386.698544
0.11477,305,3388.549961
0.494254,1001,3393.91974
0.025187,339,3395.974909
0.108605,1001,3403.558993
0.082264,251,3405.185229
0.613812,797,3409.531104
1.264296,902,3414.374749
0.195326,1001,3419.659641
0.879945,790,3426.032959
0.461997,268,3427.685144
0.472862,82,3428.409911
0.851319,1001,3433.777431
0.166675,1001,3439.022908
1.38203,1001,3444.295978
0.673121,1001,3451.73448
0.213208,777,3455.893883
0.374121,1001,3461.10995
0.729985,1001,3466.278151
0.246821,1001,3473.748652
0.490356,312,3475.578937
0.211608,1001,3480.809419
0.264643,1001,3486.002669
0.685199,1001,3491.171316
0.300459,613,3496.644644
0.444468,1001,3501.905096
0.886459,1001,3507.103618
1.039874,897,3511.814464
0.771528,609,3515.156446
0.334636,137,3516.139714
0.318975,1001,3523.498634
0.551948,1001,3528.703181
0.053074,517,3531.618224
0.505689,902,3536.383898
0.475635,470,3539.067433
1.031212,784,3545.621034
0.873879,673,3549.312458
0.062383,267,3550.941611
0.44158,1001,3556.239424
1.820517,466,3558.885443
0.904442,846,3563.396969
1.245998,923,3570.494063
0.329294,821,3574.964293
0.444555,69,3575.650153
1.275276,1001,3580.800294
1.366887,979,3585.875089
0.495953,1001,3593.255253
0.400113,416,3595.595972
0.029158,1001,3600.756444
0.324487,275,3602.455597
0.430287,1001,3607.599959
0.396237,376,3609.742342
0.096372,72,3610.415928
0.098716,342,3612.327251
0.337382,189,3613.576737
1.085934,1001,3621.102673
1.683839,948,3625.983056
0.172069,414,3628.232467
0.165591,817,3632.631021
0.229212,802,3636.80345
0.652822,1001,3644.182699
0.205787,374,3646.316085
0.531704,742,3650.284819
0.525975,707,3653.973228
0.79959,1001,3659.146374
1.0229,1001,3666.65156
1.457549,1001,3671.800997
1.395806,1001,3676.975841
0.175357,65,3677.596039
0.051491,218,3679.010875
0.128075,779,3682.983476
0.484258,1001,3690.51556
0.477162,1001,3695.785115
0.4043,917,3700.606394
0.514978,1001,3705.71476
0.749623,499,3708.418215
0.8716,1001,3715.767584
0.950946,609,3718.99804
0.312977,114,3719.906321
0.409601,1001,3725.280015
0.709834,1001,3730.49426
0.43378,86,3731.226274
0.554517,1001,3738.874115
1.09958,512,3741.723525
0.126774,540,3744.732169
0.230175,407,3747.064669
0.971012,1001,3752.515002
0.288985,220,3753.966401
